jobTitle,jobDescription,
Staff Data Engineer - Flight data and analytics team - For Women on Break,"Job Details
Job Description Contractual Period: 9 Months followed by FTE Position Collaborate with Data Scientists & Analytics Engineering team in finding & applying best practices for analytics development and deployment Design, develop & deploy the analytics on AWS platform (EMR, ECS) Analyze and understand data sources, participate in design, and provide insights and guidance on database technology and data modeling best practices Hands-on development using Big data analytics technologies such as Spark & Python Proficient with AWS services like EMR, ECS & S3 Utilize CI/CD Processes to automate development, deployment, and testing Write, analyze, and tune complex SQL queries Collaborate with business users, architects, and developers to build solutions that meet business needs Operate in Agile framework, creating user stories and tasks from customer requirements to track project progress Qualifications/ Requirements: Bachelor's Degree in Computer Science, Information Technology or equivalent (STEM) Minimum of 10 years of IT experience, 5 years of experience in Python Minimum 4 years of experience in AWS technologies. At least 1-2 years of experience in Py-Spark. Hands-on experience with AWS services - S3 / Glue / Glue Catalog/ Lambda /Step functions/ SNS / SQS / Dynamo DB / RedShift / EMR / Event Bridge / CICD Proficient in writing performant SQL queries for Oracle, MySQL, PostgreSQL, or Hive Exposure with Big Data / Hadoop / Hive. Ability to understand logical and physical data models, big data storage architecture, data modeling methodologies Exposure to Agile framework with an ability to collaboration between self-organizing cross-functional teams and focus on essential priority work.
Experience
5-8yrs
Skills
Data Science & Analytics- Spark & Python- AWS platform (EMR- ECS)
Apply Now

,Other Details DepartmentGeneral / Other SoftwareIT Operations / EDP / MISIndustry IT NGO / Social Work EducationGraduation",
Azure Data Engineer,"Job Details
We are looking for a Immediate candidates with 4 Years to 15+ years of experience in a Sr Data Engineer role and Lead Data Engineer Role, who has attained a Graduate degree in Computer Science, Statistics, Informatics, Information Systems or another quantitative field. They should also have experience using the following software/tools:

Experience with big data tools: Hadoop, Spark, Kafka, etc.
Experience with Azure cloud services: Databricks, Azure Data Factory, Azure SQL/ Synapse, ETL data warehousing
Experience with relational SQL and NoSQL databases, including Postgres and Cassandra.
Experience with data pipeline and workflow management tools
Experience with JIRA, Agile, ETL Testing etc
Experience with stream-processing systems: Storm, Spark-Streaming, etc.
Experience with object-oriented/object function scripting languages: Python/Java, SQL, ETL etc
Experience in the manufacturing industry is preferred.


Other Details DepartmentDBA / DatawarehousingIndustry IT IT - Software",
Candidates required for-MLOps Data Engineer,"Job Details
MLOps Data Engineer
Be a part of a team that s ensuring Dell Technologies' product integrity and customer satisfaction. Our MLOps team turns business requirements into technology solutions by designing, coding, and testing/debugging applications, as well as documenting procedures for use and constantly seeking quality improvements.
Join us as a Data Engineer on our ML Ops team in India to do the best work of your career and make a profound social impact.
 What you ll achieve As an MLOps Data Engineer, you will deliver products and improvements for a changing world. Working at the cutting edge, you will craft and develop software for platforms, peripherals, applications, and diagnostics all with the most sophisticated technologies, tools, software engineering methodologies, and partnerships.
 What you'll do:


Feature engineering: Stitching together and aggregating multiple large data sets working with the data scientist to the desired format. You will need to optimize both queries and architecture to support big data sets.


Data pipelining: Once the initial dataset is prepared, it is normally run through a further pipeline to prepare it for modeling. Here you will create features that make Machine Learning/Artificial algorithms work (e.g. translating the text into category variables). Expect to work with datasets with billions of rows and thousands of columns. Python/R is usually the preferred language, some larger tasks require Spark.


Take the first step towards your dream career. Every Dell Technologies team member brings something unique to the table. Here s what we are looking for with this role:
Essential Requirements


The primary skillset of building and maintaining complex ETL orchestrating pipelines preferably using Airflow


Data Engineering skillset with experience in Airflow, Python, Bash, SQL


Education (Bachelor s degree or higher) in Computer Science, Mathematics, or a related technical field, or equivalent practical experience


You have professional experience. Solid experience in Data or BI engineering dealing with large complex data scenarios


Ability to work with varied data infrastructures including relational databases, column stores, NoSQL databases, and file-based storage solutions. Exposure to machine learning or machine learning pipelines is a plus. Ability to set up containerized services using Kubernetes and Docker.


Desirable Requirements


Experience with building and designing enterprise data pipelines with various levels of priority, concurrency, and versioning


Here s our story; now tell us yours
Dell Technologies helps organizations and individuals build a brighter digital tomorrow. Our company is made up of more than 150,000 people, located in over 180 locations around the world. We re proud to be a diverse and inclusive team and have an endless passion for our mission to drive human progress.
What s most important to us is that you are respected, feel like you can be yourself and have the opportunity to do the best work of your life -- while still having a life. We offer excellent benefits, bonus programs, flexible work arrangements, a variety of career development opportunities, employee resource groups, and much more.
We started with computers, but we didn t stop there. We are helping customers move into the future with multi-cloud, AI and machine learning through the most innovative technology and services portfolio for the data era. Join us and become a part of what s next in technology, starting today.
Application  closing date: 30th November 2022
Dell is committed to the principle of equal employment opportunity for all employees and to providing employees with a work environment free of discrimination and harassment. All employment decisions at Dell are based on business needs, job requirements and individual qualifications, without regard to race, color, religion or belief, national, social or ethnic origin, sex (including pregnancy), age, physical, mental or sensory disability, HIV Status, sexual orientation, gender identity and/or expression, marital, civil union or domestic partnership status, past or present military service, family medical history or genetic information, family or parental status, or any other status protected by the laws or regulations in the locations where we operate. Dell will not tolerate discrimination or harassment based on any of these characteristics. Dell encourages applicants of all ages. Read the full Employment Opportunity Policy here .
,Other Details DepartmentGeneral / Other SoftwareSales / BDIndustry IT IT - Software EducationGraduation",
Data Engineer Automotive,"Job DetailsAs Senior Data Engineer for Automotive Business (m/f/d) you will actively shape the design and development of advanced analytics systems based on Big Data technologies. You will directly support our customers in the design of use cases and their technical implementation. Technologically, you work in the Apache Opensource toolstack with its large amount of tools and extensions. The main focus of your work will be in the areas of data engineering. In the related fields of Data Analytics and Data Science, you have a secure basic knowledge to work effectively with your colleagues specialized in this field. Activities include both the design of SW architectures and their implementation and transfer into operation. This includes, but is not limited to, the following activities: Development of customer use cases Implementation of customer projects with OpenSource SW components and commercial analysis software Implementation of data pipelines, monitoring and performance optimization in the context of product development or customer projects Design, technical architecture and implementation of Big Data solutions: End-to-end from brainstorming and proof of concept to production and continuous improvement. Analyze and extract business-critical insights from a variety of data sources, whether structured or unstructured Support of the sales during customer meetings and processing of customer-specific requirementsYour profileYou are an experienced Software Engineer with Focus on Automotive Business who can guide and inspire others. With drive and initiative, you tackle new challenges in the team, drive existing projects forward based on your own experience and develop an overall vision. You convince others with your personal appearance and have fun and experience in customer-oriented work.You have a Bachelor's or Master's degree in Computer Science, Mathematics, Business Information Systems, or similar and more than 8+ years of professional experience. You have experience and competence to design and develop data driven systems based on the technology stack. You evaluate and configure SW components, design and develop algorithms for customer solutions. You have extensive experience with various Apache Hadoop distributions (e.g. Cloudera, MapR) as well as the corresponding cloud hyperscaler variants (Azure, AWS, GCP). Your knowledge includes:Automotive data engineering Deep knowledge of overall automotive communication bus systems and data loggers advanced knowledge in Autosar and Flexray descriptions of ECUs communication protocolsHandling of unstructured data Handling of deeply nested, non-columnar binary data structures  Advanced knowledge of related software frameworks i.E. Google Protobuf Test and Verification StrategiesData Ingest Pipelines Software Architecture for data ingest pipelines Very Advanced coding skills in Scala + Java, Spark Framework using RDDsMemory and Runtime optimization for massive parallel processing algorithmsOther Knowledge of privacy and security challenges and solutions in loT and data analytics. Visionary thinking in translating business requirements into technological concepts and thinking ahead of new technologies Willingness to travel and enjoy working with customers directly on site Experience in visualization, communication and presentation of data and analytical results Very well written and verbal communication skills in the English language"""""" Key Skills: """"""As Senior Data Engineer for Automotive Business (m/f/d) you will actively shape the design and development of advanced analytics systems based on Big Data technologies. You will directly support our customers in the design of use cases and their technical implementation. Technologically, you work in the Apache Opensource toolstack with its large amount of tools and extensions. The main focus of your work will be in the areas of data engineering. In the related fields of Data Analytics and Data Science, you have a secure basic knowledge to work effectively with your colleagues specialized in this field. Activities include both the design of SW architectures and their implementation and transfer into operation. This includes, but is not limited to, the following activities: Development of customer use cases Implementation of customer projects with OpenSource SW components and commercial analysis software Implementation of data pipelines, monitoring and performance optimization in the context of product development or customer projects Design, technical architecture and implementation of Big Data solutions: End-to-end from brainstorming and proof of concept to production and continuous improvement. Analyze and extract business-critical insights from a variety of data sources, whether structured or unstructured Support of the sales during customer meetings and processing of customer-specific requirementsYour profileYou are an experienced Software Engineer with Focus on Automotive Business who can guide and inspire others. With drive and initiative, you tackle new challenges in the team, drive existing projects forward based on your own experience and develop an overall vision. You convince others with your personal appearance and have fun and experience in customer-oriented work.You have a Bachelor's or Master's degree in Computer Science, Mathematics, Business Information Systems, or similar and more than 8+ years of professional experience. You have experience and competence to design and develop data driven systems based on the technology stack. You evaluate and configure SW components, design and develop algorithms for customer solutions. You have extensive experience with various Apache Hadoop distributions (e.g. Cloudera, MapR) as well as the corresponding cloud hyperscaler variants (Azure, AWS, GCP). Your knowledge includes:Automotive data engineering Deep knowledge of overall automotive communication bus systems and data loggers advanced knowledge in Autosar and Flexray descriptions of ECUs communication protocolsHandling of unstructured data Handling of deeply nested, non-columnar binary data structures  Advanced knowledge of related software frameworks i.E. Google Protobuf Test and Verification StrategiesData Ingest Pipelines Software Architecture for data ingest pipelines Very Advanced coding skills in Scala + Java, Spark Framework using RDDsMemory and Runtime optimization for massive parallel processing algorithmsOther Knowledge of privacy and security challenges and solutions in loT and data analytics. Visionary thinking in translating business requirements into technological concepts and thinking ahead of new technologies Willingness to travel and enjoy working with customers directly on site Experience in visualization, communication and presentation of data and analytical results Very well written and verbal communication skills in the English language"""",Other Details DepartmentGeneral / Other SoftwareIndustry IT Management Consulting / Strategy EducationGraduation",
"Senior Specialist, Data Engineer & Analytics","Job Details

  Job Title  : Senior Specialist Digital Marketing Data Engineer & Analytics(m/w/divers) 
  Job Location  : Bengaluru / India 
  Role Level  : Expert Level 2 

  Start your journey of discovery - Bring your curiosity to life  
A career at our company is an ongoing journey of discovery: our 57,000 people are shaping how the world lives, works and plays through next generation advancements in healthcare, life science and performance materials. For more than 350 years and across the world we have passionately pursued our curiosity to find novel and vibrant ways of enhancing the lives of others.

  Senior Specialist Digital Marketing Data Engineer & Analytics   
The Marketing Operations team, located in Bengaluru, India is a key part of the global Digital & eCommerce Marketing department. The key focus of this team is to build automated and scaled solutions that will enable Digital Marketing to become the primary growth driver of the digital business. As such, this team collaborates cross-functionally with various marketing teams in and outside of the Digital & eCommerce organization.

Reporting to the Head of Marketing Operations, you will be responsible for developing, maintaining, and evolving reporting capabilities for various digital marketing channels. This is a great opportunity for someone to get exposure to various aspects of marketing and eCommerce business. 

We are looking for a new team member who is analytical and passionate about data and marketing. You are passionate about and experienced in handling, analysing, and visualizing data  Come and work in one of the leading eCommerce businesses in the Life Science category. 

  Key Accountabilities  

Develop, validate, scale, and deliver analytical solutions aimed at maintaining data quality
Work with  integrated data solutions such as data lakes and data warehouses 
Collaborate with analytics and data science teams to design and plan data engineering solutions
Ensure data accuracy and completeness by performing quality data audits and analyses.
Support data-informed business decisions 
Support ETL and other data engineering tasks for a customer data platform.
Develop and implement strategies and best practices to ensure appropriate access control and security of stored data for that customer data platform.
Perform explorative analyses to identify potential drivers for revenue or other substantial key business drivers or root causes of problems. 
Support business decisions by providing data analysis and reporting of patterns, insights, and trends to decision-makers.
Support the development and evolution of marketing measurement frameworks, actionable reports and interactive dashboards using reporting and visualization tools
Translate data into actionable insights - make recommendations to team members & stakeholders to improve channel or functional health.



  Minimum Qualifications:  

Bachelor's Degree in Computer Science, Data Analytics, Statistics, Applied Math, Data Science, or technical discipline
4+years of experience with data management, structuring, and engineering
4+ years of experience with Cloud Computing Platforms (Google Cloud Platform preferred); Structured Query Language (SQL);SQL and NoSQL Databases; ETL Tools (Talend, Pentaho, DataFlow, Airflow, Kafka)
3+ years of experience with programming skills such as Java, C/C++, Scala, and/or R with Python experience strongly preferred


  Preferred Qualifications:  

Master s Degree in Computer Science, Data Analytics, Statistics, Applied Math, Data Science, or technical discipline
Degree in a life science related discipline and MBA or Ph.D. is a bonus
Data Engineering Certification (Google s Certified Professional-Data-Engineer, IBM Certified Data Engineer Big Data, CCP Data Engineer for Cloudera, etc)
Experience with Digital Analytics tools such as Google Analytics or Adobe Analytics
Experience with and demonstrated ability to apply reporting and data visualization tools such as Tableau or Google Data Studio
Working understanding of machine learning methods
Ability to conduct complex, important work independently
Highly skilled in developing data pipelining solutions and architecting cloud data
Marketing technology such as marketing automation, customer data platforms, customer relationship management, 
General understanding of marketing channels and functions or deep, practical expertise of a single digital marketing channel and function. 


  Key Behaviors   

Enthusiastic, self-motivated, and proactive, with a solution-oriented mindset
Ability to utilize the available time to organize and complete work within given deadlines
Meticulous attention to detail, with an overall passion for continual improvement 
Logical and methodical approach to problem-solving
Ability to communicate effectively with others verbally and in writing clearly and concisely


  What we offer  
With us, there are always opportunities to break new ground. We empower you to fulfill your ambitions, and our diverse businesses offer various career moves to seek new horizons. We trust you with responsibility early on and support you to draw your own career map that is responsive to your aspirations and priorities in life. Join us and bring your curiosity to life! Curious  
Apply and find more information at https://jobs.vibrantm.com

 What we offer: We are curious minds that come from a broad range of backgrounds, perspectives, and life experiences. We celebrate all dimensions of diversity. We believe that it drives excellence, innovation, and human progress. We care about our customers, patients, and our rich mix of people. This diversity strengthens our ability to lead in science and technology. We are committed to creating access and opportunities for all and empower you to fulfil your ambitions. Our diverse businesses offer various career moves to seek new horizons. Join us in building a culture of inclusion and belonging that impacts millions and empowers everyone to bring their curiosity to life!
,Other Details DepartmentGeneral / Other SoftwareIndustry IT Pharma / Biotech EducationGraduation",
Data Engineer,"Job Details
Designing, creating, deploying and managing Data Architecture. Defining, in alignment with IT Business Intelligence Organisation, how the data will be stored, consumed, integrated and managed within Cloudera or other repositories, as well as any applications using or processing that data. Handling the linkages and transformations between different databases, merging and aggregating data. Creation and oversight of architecture maps for projects like Daylight (ERP Big Data) and ES Americas DataHub, to ensure people can understand and navigate through the data complexity.
Data sources will include (but not be limited to), multiple ERPs (SAP, Oracle, etc.), other enterprise business tools (Demantra, TPH, PDH, EPM, etc), other bespoke business tools (Customer Stock Assortment, Channel Charter Lead Times, Report Distribution Database, KPI Target Setting).
Oversight of the design of Bespoke Business Tools, with respect to Database architecture. Including but not limited to: Customer Stock Assortment, Channel Charter Lead Times, Report Distribution Database, KPI Target Setting.
Identification of Data Cleansing requirements within Eaton Electrical Sector EMEA s Data sets. Working with other stakeholders to develop and effective and robust cleansing processes and algorithms and validating them. Ensuring that data is clean and useable by the Organisation.
Working closely with other Business Groups within Eaton, including but not limited to: Material Master Data Management Team; Customer Master Data Management Team; Material Management Team; Product Data Stewards; IT Business Intelligence; IT; Supply Chain Shared Services in Pune (India) and Budapest; Transport Operations: Distribution Operations; Sales and Marketing Analytics; etc.
Ensuring that the tools and approaches that Eaton uses are appropriate for the current and future needs of the business: scalable; robust; with a good product life-span; managing massive data; delivering quick outputs for business users; are useable by the front-end tools.
Additionally, support for other ad-hoc Data related projects for Eaton Globally

Identifies opportunities to collect new data.
Designs new processes and builds large, complex data sets.
Develops solutions to gather data to deliver Business Tools that add value to the business
Strategizes new uses for data and its interaction with data design.
Locates data sources, analyzes statistics and implements quality procedures.
Performs data studies of new and diverse data sources.
Finds new uses for existing data sources.
Tests and validates predictive models.
Conducts scalable data research.
Implements automated processes for efficiently producing scale models.
Designs, modifies and builds new data processes.
Collaborates with stakeholders, IT, database engineers and other scientists.
Develops and maintains scalable data pipelines and builds out new API integrations to support continuing increases in data volume and complexity.
Collaborates with analytics and business teams to improve data models that feed business intelligence tools, increasing data accessibility and fostering data-driven decision making across the organization.
Implements processes and systems to monitor data quality, ensuring production data is always accurate and available for key stakeholders and business processes that depend on it.
Writes unit/integration tests and documents work.
Performs data analysis required to troubleshoot data related issues and assist in the resolution of data issues.
Works closely with a team of frontend and backend engineers, product managers, and analysts.
Defines company data assets (data models), Impala, spark, sparkSQL, and hiveSQL jobs to populate data models.
Designs data integrations and data quality framework.
Designs and evaluates open source and vendor tools for data lineage.
Works closely with all business units and engineering teams to develop strategy for long term data platform architecture.

Qualifications
Qualifications :

Bachelor s degree and master s degree in Computer Science , IT or equivalent work experience
Understanding of and ability to use programming languages like Python and Database query language like SQL (Structured Query Language)
Displays superior data visualization abilities
Displays superior technical coding abilities
Working knowledge of Power BI
Knowledge of any ETL tools like Talend, Informatica etc
Solid experience in Python
Knowlegde of Cloudera
Knowledge of different types of Databases (Relational, Graphic )
Strong Data Manipulation skills, working with large datasets
Experience within large data environments (Cloudera, OBIEE, etc)
Knowledge of Data Science is good to have
,Other Details DepartmentGeneral / Other SoftwareIndustry IT Engineering / Construction EducationGraduation",
Senior Data Engineer,"Job Details
Must have experience in Bigdata and Snowflake
Must have worked on Snowflake data migration form on prem to cloud or from any other traditional dbs , Scalability, Data Storage Formats, concurrency requests, streaming data ingestion.
Ability to build quick Proof of concept as per the requirements.
Analysis on large amounts of historical data, determining suitability for Data Lake, Delta Lake setup, data clean-up, data management and filtering, loading into Snowflake.
Conducting experiments with different types of data models, analyzing performance, to identify the best ways to employ.
Expertise in Snowflake advanced concepts like setting up resource monitors, RBAC controls, virtual warehouse sizing, query performance tuning, zero copy clone, time travel and understand how to use these features.
Strong Proficiency in RDBMS, complex SQL, PL/SQL, Python, performance tuning
Expertise in Snowflake concepts like setting up resource monitors, RBAC controls, virtual warehouse sizing, query performance tuning, zero copy clone, time travel and understand how to use these features
Other Details DepartmentEmbedded / System SoftwareGeneral / Other SoftwareIndustry IT IT - Software",
Senior Data Engineer,"Job DetailsShould be able to individually attend client calls and perform requirement gathering and prepare required documents.
Should be good in debugging and analyzing the issues and resolve in a timely manner.
Should be an expert in development of real time and batch using Informatica application integration and data Integration.
Should have good knowledge in ETL process, standards, and best practices to develop complex Informatica processes, mappings, workflows. Need to perform production support activities.
Should be able to manage multiple tasks and be able to communicate the status to the customer in a timely manner. Write advanced SQL Queries and PL/SQL code to support ETL Development.
Strong skills on ETL design patterns and integration architecture for Middleware design and implementation.
Candidate should have very good experience on SCD type 2 implementation, Incremental Strategy implementation using Informatica ETL.
Should be open to learn new technologies.Other Details DepartmentGeneral / Other SoftwareIndustry IT IT - Software",
Principal Data Engineer,"Job DetailsAs a Technical Director, you will be responsible for team management, team leadership as well as hands on technical deliverables as part of a high performing technology organization.


Responsibilities
- Leads holistic data and platform evolution in our cloud environment through supporting multi product verticals, product feature implementation, CI/CD as well as building and maintaining a security posture which includes proactively identifying security risks and implementing both risk mitigation plans and control functions
- Provides consultation throughout Ethoca, ensuring infrastructure and database performance through advanced data modeling, query tuning, and indexing strategies
- Leads initiatives with internal customers across development verticals to drive project completion, overseeing several large initiatives around system and platform performance, providing project direction and technical advice
- Plans and implements process improvement efforts to identify and test opportunities for automation and/or reduction in time to deployment
- May perform financial planning, forecasting, and budget tracking to reduce total cost of ownership and allocate resources efficiently
- Provides corporate leadership, vision, and direction for data systems, ensuring support of companys objectives and requirements
- Build and lead a team of high performing technology resources to execute on product deliverables and platform responsibilities


Experiences
- Successfully led complex cross-functional domain initiatives, expected to set project direction and anticipate/resolve challenges and escalations
- Proven ability in setting priorities, objectives, and driving deliverables within data technology domains and sub-domains, understanding the financial and technological impact of these designs
- Experience participating in a major automation and/or cloud delivery effort, including supporting financial decision making
- Experience teaming with leaders in the technical community to derive new solutions and drive quality and consistency globally
- Experience identifying potential opportunities for automation optimization and/or reduction in time to deployment
- Acts as a trusted advisor for Ethocas business and functions internally and at industry events
- Proficiency with cloud technologies (IaaS, PaaS, serverless technology, NoSQL databases), micro-service design, DevOps
- Degree in Computer Science, or a related technical field including programming
- Excellent SQL and higher-level programming language
- Strong analytical and excellent problem-solving skills
- Good understanding of 12-Factor App methodology
- Proficiency in multiple programming languages such as NodeJS, Java, Java Script, etc. are mandatory


Ideally you have experience in banking, e-commerce, credit cards or payment processing and exposure to both SaaS and premises-based architectures. In addition, you have a post-secondary degree in computer science, mathematics, or quantitative science.


Corporate Security Responsibility
Every person working for, or on behalf of, Mastercard is responsible for information security. All activities involving access to Mastercard assets, information, and networks comes with an inherent risk to the organization and therefore, it is expected that the successful candidate for this position must:
- Abide by Mastercards security policies and practices;
- Ensure the confidentiality and integrity of the information being accessed;
- Report any suspected information security violation or breach, and
- Complete all periodic mandatory security trainings in accordance with Mastercards guidelines.,Other Details DepartmentGeneral / Other SoftwareIndustry IT Banking / Financial Services EducationGraduation",
